"","ID","status","word1","word2","word3","response","answer_key","accuracy","rt","attempt","NAtrials","contrast","cswl_list","item","trained","x_dental","Task","recruitmentplatform"
"1","58add914ef58a9000119d98c","complete","t2_ttapsa.wav","ttapsa.wav","t2_tapsa.wav","m","y",0,2243.09999999969,1,NA,"hindi","A","10","1","0","pre-test","prolific"
"2","58add914ef58a9000119d98c","complete","t2_dilme.wav","tilme.wav","t2_tilme.wav","m","m",1,1943.73999999516,1,NA,"native","A","29","0","1","pre-test","prolific"
"3","58add914ef58a9000119d98c","complete","t2_ttapsa.wav","tapsa.wav","t2_tapsa.wav","m","m",1,1474.92499999498,1,NA,"hindi","A","5","1","1","pre-test","prolific"
"4","58add914ef58a9000119d98c","complete","t2_gosta.wav","gostta.wav","t2_gostta.wav","m","m",1,1443.93499999569,1,NA,"hindi","A","19","0","0","pre-test","prolific"
"5","58add914ef58a9000119d98c","complete","t2_dilme.wav","dilme.wav","t2_tilme.wav","y","y",1,1565.97500000498,1,NA,"native","A","34","0","1","pre-test","prolific"
"6","58add914ef58a9000119d98c","complete","t2_gostta.wav","gosta.wav","t2_gosta.wav","y","m",0,2230.72500000126,1,NA,"hindi","A","17","0","1","pre-test","prolific"
"7","58add914ef58a9000119d98c","complete","t2_tapsa.wav","ttapsa.wav","t2_ttapsa.wav","m","m",1,1406.30999999848,1,NA,"hindi","A","8","1","0","pre-test","prolific"
"8","58add914ef58a9000119d98c","complete","t2_tilme.wav","dilme.wav","t2_dilme.wav","m","m",1,977.754999999888,1,NA,"native","A","32","0","1","pre-test","prolific"
"9","58add914ef58a9000119d98c","complete","t2_gosta.wav","gosta.wav","t2_gostta.wav","m","y",0,1369.42000000272,1,NA,"hindi","A","14","0","1","pre-test","prolific"
"10","58add914ef58a9000119d98c","complete","t2_tilme.wav","tilme.wav","t2_dilme.wav","y","y",1,1107.10500000278,1,NA,"native","A","26","0","1","pre-test","prolific"
